2024-02-12 22:31:49.175 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:31:49.175 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:31:49.176 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:31:49.176 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:31:49.176 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:31:49.176 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 0
2024-02-12 22:31:49.176 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.10
2024-02-12 22:31:49.177 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 1
2024-02-12 22:31:49.177 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.9
2024-02-12 22:31:49.177 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 2
2024-02-12 22:31:49.177 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.8
2024-02-12 22:31:49.177 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 3
2024-02-12 22:31:49.177 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.7
2024-02-12 22:31:49.178 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 4
2024-02-12 22:31:49.178 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.6
2024-02-12 22:31:49.178 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 5
2024-02-12 22:31:49.178 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.5
2024-02-12 22:31:49.179 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 6
2024-02-12 22:31:49.179 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.4
2024-02-12 22:31:49.179 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 7
2024-02-12 22:31:49.179 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.3
2024-02-12 22:31:49.179 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 8
2024-02-12 22:31:49.180 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.2
2024-02-12 22:31:49.180 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 9
2024-02-12 22:31:49.180 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.1
2024-02-12 22:31:49.180 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 10
2024-02-12 22:31:49.181 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 11
2024-02-12 22:31:49.181 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 12
2024-02-12 22:31:49.181 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 13
2024-02-12 22:31:49.181 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 14
2024-02-12 22:32:24.807 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:32:24.807 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.1
2024-02-12 22:32:24.807 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.2
2024-02-12 22:32:24.808 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 2.3
2024-02-12 22:32:24.808 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 1
2024-02-12 22:32:24.809 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 1
2024-02-12 22:32:24.809 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.-1
2024-02-12 22:32:24.809 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 2
2024-02-12 22:32:24.809 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: 3.0
2024-02-12 22:32:24.809 [AWT-EventQueue-0] INFO   - [TestScreen{println:77}]: i 3
